iter	Passed	Remaining
0	142	142278
1	145	72355
2	147	49137
3	150	37511
4	153	30594
5	156	25932
6	159	22656
7	162	20163
8	165	18276
9	169	16802
10	173	15589
11	177	14586
12	180	13666
13	182	12878
14	185	12199
15	188	11619
16	191	11082
17	194	10607
18	197	10175
19	200	9810
20	203	9478
21	206	9159
22	208	8868
23	211	8610
24	215	8390
25	217	8164
26	220	7946
27	223	7750
28	226	7594
29	229	7428
30	232	7276
31	235	7125
32	239	7017
33	242	6882
34	245	6758
35	248	6644
36	251	6555
37	254	6452
38	257	6352
39	260	6248
40	264	6184
41	267	6111
42	270	6023
43	273	5940
44	277	5886
45	280	5824
46	283	5749
47	286	5681
48	289	5623
49	293	5567
50	295	5506
51	298	5442
52	301	5392
53	305	5347
54	308	5297
55	311	5246
56	314	5203
57	317	5158
58	320	5111
59	323	5063
60	326	5021
61	329	4981
62	332	4946
63	335	4906
64	338	4874
65	342	4839
66	345	4807
67	346	4752
68	349	4714
69	352	4682
70	356	4658
71	358	4626
72	361	4592
73	364	4557
74	367	4532
75	370	4507
76	373	4473
77	376	4445
78	379	4421
79	382	4394
80	384	4367
81	387	4341
82	390	4311
83	393	4287
84	395	4259
85	398	4234
86	400	4201
87	403	4179
88	406	4164
89	409	4142
90	412	4123
91	415	4101
92	418	4085
93	422	4071
94	425	4052
95	428	4031
96	431	4013
97	434	3998
98	437	3982
99	440	3961
100	442	3940
101	444	3912
102	447	3901
103	450	3882
104	453	3862
105	455	3841
106	458	3826
107	461	3810
108	463	3792
109	466	3774
110	469	3757
111	472	3743
112	475	3732
113	478	3715
114	480	3700
115	483	3682
116	486	3671
117	489	3656
118	491	3637
119	494	3623
120	497	3613
121	503	3625
122	505	3605
123	514	3636
124	518	3631
125	529	3671
126	538	3704
127	541	3687
128	545	3684
129	550	3684
130	553	3672
131	555	3649
132	556	3625
133	557	3601
134	558	3581
135	560	3558
136	561	3539
137	563	3517
138	564	3499
139	566	3477
140	567	3455
141	568	3434
142	569	3414
143	571	3396
144	573	3379
145	574	3357
146	574	3336
147	575	3315
148	576	3294
149	577	3273
150	578	3253
151	579	3233
152	580	3213
153	581	3193
154	582	3174
155	583	3157
156	585	3142
157	586	3125
158	587	3106
159	588	3089
160	589	3071
161	590	3054
162	591	3037
163	592	3020
164	593	3003
165	594	2986
166	595	2969
167	596	2953
168	597	2939
169	598	2924
170	599	2908
171	600	2892
172	601	2876
173	602	2860
174	603	2844
175	604	2829
176	605	2813
177	606	2798
178	606	2783
179	607	2768
180	608	2752
181	609	2738
182	610	2725
183	611	2712
184	612	2698
185	613	2685
186	614	2671
187	615	2657
188	616	2644
189	617	2630
190	617	2617
191	618	2604
192	619	2591
193	620	2579
194	621	2567
195	623	2556
196	624	2545
197	625	2532
198	626	2520
199	627	2508
200	627	2496
201	628	2484
202	629	2472
203	630	2460
204	631	2448
205	632	2436
206	633	2425
207	634	2414
208	635	2403
209	636	2393
210	637	2384
211	638	2373
212	639	2362
213	640	2351
214	641	2340
215	642	2330
216	642	2319
217	643	2309
218	644	2298
219	645	2288
220	646	2278
221	647	2267
222	647	2257
223	649	2248
224	650	2240
225	651	2231
226	652	2221
227	653	2211
228	654	2202
229	654	2192
230	655	2183
231	656	2173
232	657	2164
233	658	2154
234	659	2145
235	659	2136
236	660	2127
237	661	2118
238	663	2111
239	664	2103
240	665	2094
241	665	2085
242	666	2076
243	667	2068
244	668	2059
245	669	2051
246	670	2042
247	671	2034
248	671	2026
249	672	2017
250	673	2009
251	674	2001
252	675	1994
253	676	1987
254	677	1979
255	678	1971
256	679	1964
257	680	1956
258	681	1948
259	681	1940
260	682	1932
261	683	1925
262	684	1917
263	685	1910
264	686	1902
265	686	1895
266	688	1888
267	689	1882
268	690	1876
269	691	1868
270	692	1861
271	693	1855
272	693	1847
273	694	1841
274	695	1834
275	696	1827
276	697	1821
277	698	1814
278	699	1808
279	701	1803
280	702	1797
281	703	1791
282	704	1785
283	705	1778
284	706	1772
285	707	1765
286	708	1759
287	709	1753
288	710	1746
289	710	1740
290	711	1734
291	712	1728
292	713	1722
293	715	1717
294	716	1711
295	717	1705
296	718	1699
297	719	1693
298	719	1687
299	720	1682
300	721	1676
301	722	1670
302	723	1664
303	724	1658
304	725	1652
305	726	1646
306	727	1642
307	728	1637
308	729	1632
309	730	1626
310	731	1621
311	732	1615
312	733	1610
313	734	1604
314	735	1599
315	736	1593
316	737	1588
317	738	1582
318	739	1577
319	740	1572
320	741	1568
321	742	1562
322	743	1557
323	744	1552
324	744	1547
325	745	1542
326	746	1537
327	747	1532
328	748	1526
329	749	1521
330	750	1516
331	751	1511
332	752	1506
333	753	1502
334	754	1497
335	755	1492
336	756	1487
337	757	1483
338	758	1478
339	759	1473
340	760	1469
341	761	1464
342	762	1459
343	762	1454
344	763	1449
345	764	1445
346	765	1440
347	766	1436
348	768	1432
349	769	1428
350	769	1423
351	771	1419
352	771	1414
353	772	1410
354	773	1405
355	774	1401
356	775	1396
357	776	1392
358	777	1387
359	777	1383
360	779	1378
361	780	1374
362	781	1370
363	782	1366
364	782	1362
365	783	1357
366	784	1353
367	785	1349
368	786	1345
369	787	1341
370	788	1337
371	789	1333
372	790	1328
373	791	1324
374	792	1320
375	793	1317
376	794	1313
377	795	1308
378	796	1304
379	797	1300
380	797	1296
381	798	1292
382	799	1288
383	800	1284
384	801	1279
385	802	1275
386	802	1271
387	803	1267
388	804	1263
389	805	1260
390	806	1256
391	807	1252
392	808	1248
393	809	1245
394	810	1241
395	811	1237
396	811	1233
397	812	1229
398	813	1225
399	814	1221
400	815	1217
401	816	1213
402	816	1210
403	817	1206
404	818	1203
405	819	1199
406	820	1196
407	821	1192
408	822	1188
409	823	1184
410	824	1181
411	825	1177
412	825	1173
413	826	1170
414	827	1166
415	828	1162
416	829	1159
417	830	1155
418	831	1152
419	832	1149
420	833	1146
421	834	1143
422	835	1139
423	836	1136
424	837	1132
425	837	1129
426	838	1125
427	839	1122
428	840	1118
429	841	1115
430	842	1111
431	842	1108
432	843	1104
433	844	1101
434	845	1098
435	846	1095
436	847	1092
437	848	1088
438	849	1085
439	850	1082
440	851	1078
441	851	1075
442	852	1072
443	853	1068
444	854	1065
445	855	1062
446	856	1059
447	856	1055
448	858	1052
449	859	1050
450	860	1047
451	861	1044
452	861	1040
453	862	1037
454	863	1034
455	864	1031
456	865	1028
457	866	1025
458	866	1021
459	867	1018
460	868	1015
461	869	1012
462	870	1009
463	871	1006
464	872	1003
465	873	1000
466	874	997
467	875	994
468	875	991
469	876	988
470	877	985
471	878	982
472	879	979
473	880	976
474	880	973
475	881	970
476	882	967
477	883	964
478	884	962
479	885	959
480	886	956
481	887	953
482	888	950
483	889	947
484	889	944
485	890	942
486	891	939
487	892	936
488	893	933
489	894	930
490	894	927
491	895	924
492	896	921
493	898	920
494	899	917
495	900	914
496	901	911
497	901	909
498	902	906
499	903	903
500	904	900
501	905	898
502	906	895
503	907	892
504	907	889
505	908	887
506	909	884
507	910	881
508	911	879
509	912	876
510	913	874
511	914	871
512	915	868
513	915	866
514	916	863
515	917	860
516	918	858
517	919	855
518	920	852
519	921	850
520	921	847
521	922	845
522	924	842
523	925	840
524	926	837
525	926	835
526	927	832
527	928	830
528	929	827
529	930	825
530	931	822
531	932	820
532	933	817
533	934	815
534	935	812
535	936	810
536	937	808
537	938	806
538	939	803
539	940	801
540	941	798
541	942	796
542	943	793
543	943	791
544	944	788
545	945	786
546	946	784
547	947	781
548	948	779
549	949	777
550	951	775
551	952	772
552	953	770
553	953	767
554	954	765
555	955	763
556	956	760
557	957	758
558	958	756
559	959	753
560	960	751
561	961	749
562	961	746
563	963	744
564	964	742
565	965	739
566	965	737
567	966	735
568	967	732
569	968	730
570	969	728
571	970	725
572	970	723
573	971	721
574	972	718
575	973	716
576	974	714
577	975	711
578	976	710
579	977	707
580	978	705
581	979	703
582	980	701
583	981	698
584	981	696
585	982	694
586	983	692
587	984	689
588	985	687
589	986	685
590	986	682
591	987	680
592	988	678
593	989	676
594	990	674
595	991	672
596	992	670
597	993	667
598	994	665
599	995	663
600	995	661
601	996	658
602	997	656
603	998	654
604	999	652
605	1000	650
606	1000	648
607	1001	645
608	1002	643
609	1004	641
610	1005	639
611	1005	637
612	1006	635
613	1007	633
614	1008	631
615	1009	629
616	1010	626
617	1010	624
618	1011	622
619	1012	620
620	1013	618
621	1014	616
622	1015	614
623	1016	612
624	1017	610
625	1018	608
626	1018	606
627	1019	604
628	1020	601
629	1021	599
630	1022	597
631	1022	595
632	1023	593
633	1024	591
634	1025	589
635	1026	587
636	1027	585
637	1027	583
638	1028	581
639	1030	579
640	1030	577
641	1031	575
642	1032	573
643	1033	571
644	1034	569
645	1035	567
646	1065	581
647	1066	579
648	1067	577
649	1068	575
650	1069	573
651	1070	571
652	1072	569
653	1074	568
654	1075	566
